model,auc-roc,auc-pr,accuracy,precision,recall,f1-score,sensitivity,specificity,tn,fp,fn,tp
catboost,0.9577,0.368,0.9829,0.3646,0.4889,0.4177,0.4889,0.9892,10540.0,115.0,69.0,66.0
dt,0.6479,0.3202,0.9835,0.328,0.3037,0.3154,0.3037,0.9921,10571.0,84.0,94.0,41.0
gradient-boosting,0.9423,0.2119,0.8335,0.0608,0.8519,0.1135,0.8519,0.8333,8879.0,1776.0,20.0,115.0
lightgbm,0.9199,0.4209,0.9885,0.5733,0.3185,0.4095,0.3185,0.997,10623.0,32.0,92.0,43.0
logistic-regression,0.9329,0.2449,0.8943,0.093,0.8519,0.1678,0.8519,0.8948,9534.0,1121.0,20.0,115.0
mlp,0.1246,0.0066,0.9875,0.0,0.0,0.0,0.0,1.0,10655.0,0.0,135.0,0.0
naive-bayes,0.8858,0.3215,0.764,0.046,0.9037,0.0875,0.9037,0.7623,8122.0,2533.0,13.0,122.0
random-forest,0.9285,0.3042,0.9874,0.4706,0.0593,0.1053,0.0593,0.9992,10646.0,9.0,127.0,8.0
svm,0.9271,0.1889,0.9873,0.4,0.0296,0.0552,0.0296,0.9994,10649.0,6.0,131.0,4.0
xgboost,0.9681,0.3786,0.9865,0.4574,0.437,0.447,0.437,0.9934,10585.0,70.0,76.0,59.0
