model,auc-roc,auc-pr,accuracy,precision,recall,f1-score,sensitivity,specificity,tn,fp,fn,tp
catboost,0.9498,0.227,0.9792,0.2829,0.4296,0.3412,0.4296,0.9862,10508.0,147.0,77.0,58.0
dt,0.6024,0.2197,0.9804,0.2148,0.2148,0.2148,0.2148,0.9901,10549.0,106.0,106.0,29.0
gradient-boosting,0.9142,0.1455,0.8701,0.0779,0.8667,0.143,0.8667,0.8701,9271.0,1384.0,18.0,117.0
lightgbm,0.9469,0.2544,0.9862,0.4028,0.2148,0.2802,0.2148,0.996,10612.0,43.0,106.0,29.0
logistic-regression,0.9456,0.2552,0.8949,0.0955,0.8741,0.1723,0.8741,0.8952,9538.0,1117.0,17.0,118.0
mlp,0.1234,0.0066,0.9875,0.0,0.0,0.0,0.0,1.0,10655.0,0.0,135.0,0.0
naive-bayes,0.8943,0.3177,0.7644,0.046,0.9037,0.0876,0.9037,0.7626,8126.0,2529.0,13.0,122.0
random-forest,0.9212,0.2201,0.9872,0.3636,0.0296,0.0548,0.0296,0.9993,10648.0,7.0,131.0,4.0
svm,0.9396,0.1909,0.987,0.0,0.0,0.0,0.0,0.9995,10650.0,5.0,135.0,0.0
xgboost,0.9349,0.2286,0.9849,0.3654,0.2815,0.318,0.2815,0.9938,10589.0,66.0,97.0,38.0
