feature,mean_abs_shap
hallway-count-std,0.3286
num-transitions,0.2173
lounge-count-std,0.138
back-door-count-mean,0.0665
location-dominance-ratio,0.057
kitchen-count-std,0.0495
hallway-count-max,0.0491
private-to-public-ratio,0.0479
location-entropy,0.0461
body-temperature,0.0459
fridge-door-count-std,0.0447
kitchen-count-max,0.0403
lounge-count-mean,0.0374
heart-rate,0.0364
bedroom-count-std,0.035
total-events,0.0184
total-body-water,0.0181
bedroom-count-mean,0.0177
kitchen-count-mean,0.0171
skin-temperature,0.0151
body-weight,0.0144
systolic-blood-pressure,0.0138
bathroom-count-std,0.0122
lounge-count-max,0.0121
diastolic-blood-pressure,0.0113
hallway-count-mean,0.0104
front-door-count-max,0.0099
muscle-mass,0.0088
bathroom-count-mean,0.0087
fridge-door-count-mean,0.0079
fridge-door-count-max,0.0077
back-and-forth-count,0.007
unique-locations,0.0067
bathroom-count-max,0.0061
back-door-count-std,0.0059
back-door-count-max,0.0054
front-door-count-std,0.0034
front-door-count-mean,0.0029
bedroom-count-max,0.0029
bathroom-count-sum,0.0012
bedroom-count-sum,0.001
hallway-count-sum,0.0008
lounge-count-sum,0.0004
kitchen-count-sum,0.0003
back-door-count-sum,0.0002
active-location-ratio,0.0
front-door-count-sum,0.0
fridge-door-count-sum,0.0
