model,auc-roc,auc-pr,accuracy,precision,recall,f1-score,sensitivity,specificity,tn,fp,fn,tp
catboost,0.9698,0.2928,0.9809,0.3234,0.4815,0.3869,0.4815,0.9872,10519.0,136.0,70.0,65.0
dt,0.6023,0.2182,0.9802,0.2117,0.2148,0.2132,0.2148,0.9899,10547.0,108.0,106.0,29.0
gradient-boosting,0.9309,0.1743,0.941,0.1571,0.8519,0.2653,0.8519,0.9421,10038.0,617.0,20.0,115.0
lightgbm,0.9541,0.3346,0.9858,0.4022,0.2741,0.326,0.2741,0.9948,10600.0,55.0,98.0,37.0
logistic-regression,0.9149,0.2083,0.8781,0.0804,0.837,0.1467,0.837,0.8786,9362.0,1293.0,22.0,113.0
mlp,0.1179,0.0066,0.9875,0.0,0.0,0.0,0.0,1.0,10655.0,0.0,135.0,0.0
naive-bayes,0.8916,0.3247,0.7649,0.0461,0.9037,0.0877,0.9037,0.7631,8131.0,2524.0,13.0,122.0
random-forest,0.9476,0.2544,0.9868,0.2941,0.037,0.0658,0.037,0.9989,10643.0,12.0,130.0,5.0
svm,0.9357,0.219,0.9876,0.5714,0.0296,0.0563,0.0296,0.9997,10652.0,3.0,131.0,4.0
xgboost,0.9628,0.3392,0.9856,0.4153,0.363,0.3874,0.363,0.9935,10586.0,69.0,86.0,49.0
